Site,Year,Block,Trt,Plot,Tree_Number,Sp_code,Cond,DBH,CoreID,response,priorDBH,priorYear,PlotID,totalPlotBA_ha,priorBA
AS,2019,1,1,11,11,PIPO,1,11.4,AS_1_1_11_11,Live,11.1,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,12,PIPO,1,25.5,AS_1_1_11_12,Live,22.2,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,12,PIPO,1,25.8,AS_1_1_11_12,Live,25.5,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,13,PIPO,1,24.1,AS_1_1_11_13,Live,21.2,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,13,PIPO,1,25,AS_1_1_11_13,Live,24.1,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,14,PIPO,1,13.2,AS_1_1_11_14,Live,12.1,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,14,PIPO,1,13.8,AS_1_1_11_14,Live,13.2,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,17,PIPO,1,38.2,AS_1_1_11_17,Live,36.6,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,17,PIPO,1,38.7,AS_1_1_11_17,Live,38.2,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,18,PIPO,1,20.3,AS_1_1_11_18,Live,17,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,18,PIPO,1,20.4,AS_1_1_11_18,Live,20.3,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,19,PIPO,1,31.6,AS_1_1_11_19,Live,28.9,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,19,PIPO,1,32,AS_1_1_11_19,Live,31.6,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,2,PIPO,1,25.8,AS_1_1_11_2,Live,22.9,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,2,PIPO,1,27,AS_1_1_11_2,Live,25.8,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,20,PIPO,1,24.4,AS_1_1_11_20,Live,21.8,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,20,PIPO,1,25.5,AS_1_1_11_20,Live,24.4,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,21,PIPO,1,4.8,AS_1_1_11_21,Live,3.7,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,21,PIPO,1,5.5,AS_1_1_11_21,Live,4.8,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,24,PIPO,1,27.9,AS_1_1_11_24,Live,25.2,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,24,PIPO,1,28.3,AS_1_1_11_24,Live,27.9,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,25,PIPO,1,14.8,AS_1_1_11_25,Live,13,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,25,PIPO,1,14.3,AS_1_1_11_25,Live,14.8,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,27,PIPO,1,27.8,AS_1_1_11_27,Live,24.9,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,27,PIPO,1,28.5,AS_1_1_11_27,Live,27.8,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,31,PIPO,1,22.3,AS_1_1_11_31,Live,19.2,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,31,PIPO,1,23.3,AS_1_1_11_31,Live,22.3,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,33,PIPO,1,35,AS_1_1_11_33,Live,32.9,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,33,PIPO,1,35.6,AS_1_1_11_33,Live,35,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,34,PIPO,1,29.3,AS_1_1_11_34,Live,26.8,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,34,PIPO,1,29.7,AS_1_1_11_34,Live,29.3,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,35,PIPO,1,19,AS_1_1_11_35,Live,18.5,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,35,PIPO,1,19.7,AS_1_1_11_35,Live,19,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,37,PIPO,1,28.3,AS_1_1_11_37,Live,25.2,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,37,PIPO,1,29.8,AS_1_1_11_37,Live,28.3,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2019,1,1,11,39,PIPO,3,NA,AS_1_1_11_39,Dead,6.3,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,4,PIPO,1,12.7,AS_1_1_11_4,Live,11,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,4,PIPO,1,13.8,AS_1_1_11_4,Live,12.7,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,5,PIPO,1,29.7,AS_1_1_11_5,Live,26.2,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,5,PIPO,1,30.3,AS_1_1_11_5,Live,29.7,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,6,PIPO,1,18.4,AS_1_1_11_6,Live,16.6,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,6,PIPO,1,18.3,AS_1_1_11_6,Live,18.4,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,7,PIPO,1,8.6,AS_1_1_11_7,Live,7.8,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,7,PIPO,1,8.4,AS_1_1_11_7,Live,8.6,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,11,9,PIPO,1,23.6,AS_1_1_11_9,Live,21.6,2002,AS_1_1_11,28.76636384050025,26.03274512275206
AS,2019,1,1,11,9,PIPO,1,24,AS_1_1_11_9,Live,23.6,2013,AS_1_1_11,29.917293005933097,28.76636384050025
AS,2013,1,1,12,1,PIPO,1,28,AS_1_1_12_1,Live,26.8,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,1,PIPO,1,28.8,AS_1_1_12_1,Live,28,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,10,PIPO,1,8,AS_1_1_12_10,Live,7.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,10,PIPO,1,8,AS_1_1_12_10,Live,8,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,100,PIPO,1,14.7,AS_1_1_12_100,Live,14.3,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,100,PIPO,1,15,AS_1_1_12_100,Live,14.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,101,PIPO,1,25.2,AS_1_1_12_101,Live,22.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,101,PIPO,1,25.7,AS_1_1_12_101,Live,25.2,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,102,PIPO,3,NA,AS_1_1_12_102,Dead,16,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,103,PIPO,1,9.1,AS_1_1_12_103,Live,7.9,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,103,PIPO,1,9,AS_1_1_12_103,Live,9.1,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,105,PIPO,1,34,AS_1_1_12_105,Live,34,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,105,PIPO,1,34.1,AS_1_1_12_105,Live,34,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,106,PIPO,1,14.5,AS_1_1_12_106,Live,13,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,106,PIPO,1,14.9,AS_1_1_12_106,Live,14.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,107,PIPO,6,NA,AS_1_1_12_107,Dead,6.8,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,108,PIPO,1,15.1,AS_1_1_12_108,Live,13.7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,108,PIPO,1,15.7,AS_1_1_12_108,Live,15.1,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,109,PIPO,1,5.7,AS_1_1_12_109,Live,5.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,109,PIPO,3,NA,AS_1_1_12_109,Dead,5.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,110,PIPO,1,10.2,AS_1_1_12_110,Live,10,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,110,PIPO,3,NA,AS_1_1_12_110,Dead,10.2,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,111,PIPO,1,19.9,AS_1_1_12_111,Live,18.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,111,PIPO,1,20.4,AS_1_1_12_111,Live,19.9,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,112,PIPO,1,12.8,AS_1_1_12_112,Live,12.2,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,112,PIPO,1,13.4,AS_1_1_12_112,Live,12.8,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2019,1,1,12,114,PIPO,1,22.3,AS_1_1_12_114,Live,22,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,12,PIPO,1,20.3,AS_1_1_12_12,Live,18.7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,12,PIPO,1,21.3,AS_1_1_12_12,Live,20.3,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,13,PIPO,1,22.7,AS_1_1_12_13,Live,20.9,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,13,PIPO,1,23.4,AS_1_1_12_13,Live,22.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,14,PIPO,3,NA,AS_1_1_12_14,Dead,5.1,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,16,PIPO,1,15.5,AS_1_1_12_16,Live,15.4,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,16,PIPO,1,15.7,AS_1_1_12_16,Live,15.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,17,PIPO,1,9.9,AS_1_1_12_17,Live,9.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,17,PIPO,1,9.9,AS_1_1_12_17,Live,9.9,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,18,PIPO,1,9.4,AS_1_1_12_18,Live,8.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,18,PIPO,1,9.3,AS_1_1_12_18,Live,9.4,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,19,PIPO,1,6,AS_1_1_12_19,Live,6.2,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,19,PIPO,3,NA,AS_1_1_12_19,Dead,6,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,20,PIPO,1,6.2,AS_1_1_12_20,Live,6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,21,PIPO,3,NA,AS_1_1_12_21,Dead,4,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,22,PIPO,1,8.6,AS_1_1_12_22,Live,8.2,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,22,PIPO,3,NA,AS_1_1_12_22,Dead,8.6,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,24,PIPO,3,NA,AS_1_1_12_24,Dead,4.8,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,25,PIPO,1,13.7,AS_1_1_12_25,Live,13,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,25,PIPO,1,13.5,AS_1_1_12_25,Live,13.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,26,PIPO,1,10.2,AS_1_1_12_26,Live,9.7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,26,PIPO,1,10,AS_1_1_12_26,Live,10.2,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,27,PIPO,1,16.4,AS_1_1_12_27,Live,15.4,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,27,PIPO,1,16.5,AS_1_1_12_27,Live,16.4,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,28,PIPO,1,8.5,AS_1_1_12_28,Live,8.7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,28,PIPO,3,NA,AS_1_1_12_28,Dead,8.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,29,PIPO,1,14.5,AS_1_1_12_29,Live,13.1,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,29,PIPO,1,15.6,AS_1_1_12_29,Live,14.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,3,PIPO,1,33.3,AS_1_1_12_3,Live,31.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,3,PIPO,1,34.4,AS_1_1_12_3,Live,33.3,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,31,PIPO,1,15,AS_1_1_12_31,Live,14.2,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,31,PIPO,1,14.9,AS_1_1_12_31,Live,15,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,33,PIPO,1,8.2,AS_1_1_12_33,Live,8.8,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,33,PIPO,1,8.7,AS_1_1_12_33,Live,8.2,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,34,PIPO,1,14.7,AS_1_1_12_34,Live,13.3,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,34,PIPO,1,15,AS_1_1_12_34,Live,14.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,35,PIPO,3,NA,AS_1_1_12_35,Dead,8.7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,36,PIPO,1,11.3,AS_1_1_12_36,Live,10.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,36,PIPO,1,11.5,AS_1_1_12_36,Live,11.3,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,37,PIPO,1,10.7,AS_1_1_12_37,Live,10.8,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,37,PIPO,4,NA,AS_1_1_12_37,Dead,10.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,39,PIPO,1,8.9,AS_1_1_12_39,Live,8.7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,39,PIPO,1,9,AS_1_1_12_39,Live,8.9,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,40,PIPO,1,9.141663,AS_1_1_12_40,Live,7.9,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,40,PIPO,4,NA,AS_1_1_12_40,Dead,9.141663,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,41,PIPO,1,13.5,AS_1_1_12_41,Live,11.9,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,41,PIPO,1,14.5,AS_1_1_12_41,Live,13.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,42,PIPO,1,3.4,AS_1_1_12_42,Live,3.1,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,42,PIPO,3,NA,AS_1_1_12_42,Dead,3.4,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,43,PIPO,1,9.5,AS_1_1_12_43,Live,9.1,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,43,PIPO,1,9.8,AS_1_1_12_43,Live,9.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,44,PIPO,1,10.5,AS_1_1_12_44,Live,10.1,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,44,PIPO,1,10.6,AS_1_1_12_44,Live,10.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,45,PIPO,1,7.7,AS_1_1_12_45,Live,7.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,45,PIPO,1,7.7,AS_1_1_12_45,Live,7.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,46,PIPO,1,6.9,AS_1_1_12_46,Live,6.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,46,PIPO,4,NA,AS_1_1_12_46,Dead,6.9,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,47,PIPO,1,19.5,AS_1_1_12_47,Live,18,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,47,PIPO,1,20.5,AS_1_1_12_47,Live,19.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,49,PIPO,1,7.8,AS_1_1_12_49,Live,6.2,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,49,PIPO,3,NA,AS_1_1_12_49,Dead,7.8,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,5,PIPO,3,NA,AS_1_1_12_5,Dead,12.7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,50,PIPO,1,9.1,AS_1_1_12_50,Live,8.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,50,PIPO,1,9.1,AS_1_1_12_50,Live,9.1,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,51,PIPO,1,10.3,AS_1_1_12_51,Live,9.8,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,51,PIPO,4,NA,AS_1_1_12_51,Dead,10.3,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,52,PIPO,1,4.1,AS_1_1_12_52,Live,3.9,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,52,PIPO,4,NA,AS_1_1_12_52,Dead,4.1,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,53,PIPO,1,20.73861,AS_1_1_12_53,Live,17.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,53,PIPO,6,NA,AS_1_1_12_53,Dead,20.73861,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,56,PIPO,1,17.3,AS_1_1_12_56,Live,17.3,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,56,PIPO,4,NA,AS_1_1_12_56,Dead,17.3,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,58,PIPO,1,11.7,AS_1_1_12_58,Live,10.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,58,PIPO,3,NA,AS_1_1_12_58,Dead,11.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,59,PIPO,1,36.6,AS_1_1_12_59,Live,35.2,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,59,PIPO,1,36.9,AS_1_1_12_59,Live,36.6,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,61,PIPO,1,7.7,AS_1_1_12_61,Live,7,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,61,PIPO,4,NA,AS_1_1_12_61,Dead,7.7,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,62,PIPO,1,8.3,AS_1_1_12_62,Live,7.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,62,PIPO,4,NA,AS_1_1_12_62,Dead,8.3,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,63,PIPO,1,19.4,AS_1_1_12_63,Live,17.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,63,PIPO,1,19,AS_1_1_12_63,Live,19.4,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,65,PIPO,1,9.8,AS_1_1_12_65,Live,9.1,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,65,PIPO,4,NA,AS_1_1_12_65,Dead,9.8,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,66,PIPO,1,6.8,AS_1_1_12_66,Live,6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,66,PIPO,4,NA,AS_1_1_12_66,Dead,6.8,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,67,PIPO,1,7.3,AS_1_1_12_67,Live,6.2,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,67,PIPO,4,NA,AS_1_1_12_67,Dead,7.3,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,68,PIPO,1,5.4,AS_1_1_12_68,Live,5.3,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,68,PIPO,4,NA,AS_1_1_12_68,Dead,5.4,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,69,PIPO,1,17.4,AS_1_1_12_69,Live,16,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,69,PIPO,1,17.8,AS_1_1_12_69,Live,17.4,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,7,PIPO,1,8,AS_1_1_12_7,Live,6.6,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,7,PIPO,3,NA,AS_1_1_12_7,Dead,8,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,70,PIPO,1,23.1,AS_1_1_12_70,Live,22,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,70,PIPO,1,23.6,AS_1_1_12_70,Live,23.1,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,71,PIPO,1,23.4,AS_1_1_12_71,Live,22.8,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,71,PIPO,4,NA,AS_1_1_12_71,Dead,23.4,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,74,PIPO,3,NA,AS_1_1_12_74,Dead,4.5,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,75,PIPO,1,31.1,AS_1_1_12_75,Live,30.4,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,75,PIPO,1,31.4,AS_1_1_12_75,Live,31.1,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,76,PIPO,3,NA,AS_1_1_12_76,Dead,3,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2013,1,1,12,78,PIPO,1,15.5,AS_1_1_12_78,Live,14.9,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,78,PIPO,4,NA,AS_1_1_12_78,Dead,15.5,2013,AS_1_1_12,39.665645250000004,46.00072039803351
AS,2013,1,1,12,79,PIPO,1,9.1,AS_1_1_12_79,Live,9.1,2002,AS_1_1_12,46.00072039803351,43.19625387
AS,2019,1,1,12,79,PIPO,4,NA,AS_1_1_12_79,Dead,9.1,2013,AS_1_1_12,39.665645250000004,46.00072039803351
