"","Site","Year","Block","Trt","Plot","Tree_Number","Sp_code","Cond","DBH","CoreID","response","priorDBH","priorYear","PlotID","totalPlotBA_ha","priorBA","CanopyCover","maxVPD","minSWA"
"29","FV",2011,1,1,10,18,"PIPO",1,3.5,"FV_1_1_10_18","Live",3.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"30","FV",2019,1,1,10,18,"PIPO",1,4,"FV_1_1_10_18","Live",3.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"31","FV",2006,1,1,10,19,"PIPO",1,5.6,"FV_1_1_10_19","Live",5.5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"32","FV",2011,1,1,10,19,"PIPO",1,5.5,"FV_1_1_10_19","Live",5.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"33","FV",2019,1,1,10,19,"PIPO",1,6.9,"FV_1_1_10_19","Live",5.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"34","FV",2006,1,1,10,2,"PIPO",1,20.2,"FV_1_1_10_2","Live",19.1,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"35","FV",2011,1,1,10,2,"PIPO",1,21.1,"FV_1_1_10_2","Live",20.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"36","FV",2019,1,1,10,2,"PIPO",1,23.7,"FV_1_1_10_2","Live",21.1,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"37","FV",2006,1,1,10,20,"PIPO",1,12,"FV_1_1_10_20","Live",11.8,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"38","FV",2011,1,1,10,20,"PIPO",1,12,"FV_1_1_10_20","Live",12,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"39","FV",2019,1,1,10,20,"PIPO",1,12.6,"FV_1_1_10_20","Live",12,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"40","FV",2006,1,1,10,21,"PIPO",1,2,"FV_1_1_10_21","Live",1.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"41","FV",2011,1,1,10,21,"PIPO",1,2,"FV_1_1_10_21","Live",2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"42","FV",2019,1,1,10,21,"PIPO",1,2.3,"FV_1_1_10_21","Live",2,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"43","FV",2006,1,1,10,22,"PIPO",1,3.5,"FV_1_1_10_22","Live",3.4,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"44","FV",2011,1,1,10,22,"PIPO",1,3.5,"FV_1_1_10_22","Live",3.5,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"45","FV",2019,1,1,10,22,"PIPO",1,3.8,"FV_1_1_10_22","Live",3.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"46","FV",2006,1,1,10,23,"PIPO",3,NA,"FV_1_1_10_23","Dead",2.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"47","FV",2006,1,1,10,24,"PIPO",1,3.5,"FV_1_1_10_24","Live",3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"48","FV",2011,1,1,10,24,"PIPO",1,3.8,"FV_1_1_10_24","Live",3.5,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"49","FV",2019,1,1,10,24,"PIPO",1,4.2,"FV_1_1_10_24","Live",3.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"50","FV",2006,1,1,10,25,"PIPO",1,2.3,"FV_1_1_10_25","Live",2.4,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"51","FV",2011,1,1,10,25,"PIPO",1,2.5,"FV_1_1_10_25","Live",2.3,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"52","FV",2019,1,1,10,25,"PIPO",1,2.5,"FV_1_1_10_25","Live",2.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"53","FV",2006,1,1,10,26,"PIPO",1,9.1,"FV_1_1_10_26","Live",8.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"54","FV",2011,1,1,10,26,"PIPO",1,9.4,"FV_1_1_10_26","Live",9.1,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"55","FV",2019,1,1,10,26,"PIPO",1,9.9,"FV_1_1_10_26","Live",9.4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"56","FV",2006,1,1,10,27,"PIPO",1,2.6,"FV_1_1_10_27","Live",2.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"57","FV",2011,1,1,10,27,"PIPO",1,2.6,"FV_1_1_10_27","Live",2.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"58","FV",2019,1,1,10,27,"PIPO",1,2.8,"FV_1_1_10_27","Live",2.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"59","FV",2006,1,1,10,28,"PIPO",1,5.9,"FV_1_1_10_28","Live",5.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"60","FV",2011,1,1,10,28,"PIPO",1,6.1,"FV_1_1_10_28","Live",5.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"61","FV",2019,1,1,10,28,"PIPO",5,NA,"FV_1_1_10_28","Dead",6.1,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"62","FV",2006,1,1,10,29,"PIPO",1,6.4,"FV_1_1_10_29","Live",6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"63","FV",2011,1,1,10,29,"PIPO",1,6.7,"FV_1_1_10_29","Live",6.4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"64","FV",2019,1,1,10,29,"PIPO",1,7.1,"FV_1_1_10_29","Live",6.7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"65","FV",2006,1,1,10,3,"PIPO",1,31.2,"FV_1_1_10_3","Live",29.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"66","FV",2011,1,1,10,3,"PIPO",1,31.3,"FV_1_1_10_3","Live",31.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"67","FV",2019,1,1,10,3,"PIPO",1,34.2,"FV_1_1_10_3","Live",31.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"68","FV",2006,1,1,10,30,"PIPO",1,2.9,"FV_1_1_10_30","Live",2.9,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"69","FV",2011,1,1,10,30,"PIPO",1,2.8,"FV_1_1_10_30","Live",2.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"70","FV",2019,1,1,10,30,"PIPO",1,3.1,"FV_1_1_10_30","Live",2.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"71","FV",2006,1,1,10,31,"PIPO",1,6.2,"FV_1_1_10_31","Live",5.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"72","FV",2011,1,1,10,31,"PIPO",1,7,"FV_1_1_10_31","Live",6.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"73","FV",2019,1,1,10,31,"PIPO",1,7.7,"FV_1_1_10_31","Live",7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"74","FV",2006,1,1,10,32,"PIPO",1,5.6,"FV_1_1_10_32","Live",5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"75","FV",2011,1,1,10,32,"PIPO",1,6.2,"FV_1_1_10_32","Live",5.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"76","FV",2019,1,1,10,32,"PIPO",1,7.1,"FV_1_1_10_32","Live",6.2,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"77","FV",2006,1,1,10,33,"PIPO",1,5.6,"FV_1_1_10_33","Live",4.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"78","FV",2011,1,1,10,33,"PIPO",1,6.3,"FV_1_1_10_33","Live",5.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"79","FV",2019,1,1,10,33,"PIPO",1,7.5,"FV_1_1_10_33","Live",6.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"80","FV",2006,1,1,10,34,"PIPO",1,7.7,"FV_1_1_10_34","Live",6.9,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"81","FV",2011,1,1,10,34,"PIPO",1,7.8,"FV_1_1_10_34","Live",7.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"82","FV",2019,1,1,10,34,"PIPO",1,9.6,"FV_1_1_10_34","Live",7.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"83","FV",2006,1,1,10,35,"PIPO",1,6.3,"FV_1_1_10_35","Live",5.5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"84","FV",2011,1,1,10,35,"PIPO",1,6.6,"FV_1_1_10_35","Live",6.3,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"85","FV",2019,1,1,10,35,"PIPO",1,7.7,"FV_1_1_10_35","Live",6.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"86","FV",2006,1,1,10,36,"PIPO",1,19.4,"FV_1_1_10_36","Live",18.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"87","FV",2011,1,1,10,36,"PIPO",1,21,"FV_1_1_10_36","Live",19.4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"88","FV",2019,1,1,10,36,"PIPO",1,23.8,"FV_1_1_10_36","Live",21,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"89","FV",2006,1,1,10,37,"PIPO",1,4,"FV_1_1_10_37","Live",3.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"90","FV",2011,1,1,10,37,"PIPO",1,4.1,"FV_1_1_10_37","Live",4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"91","FV",2019,1,1,10,37,"PIPO",1,4.6,"FV_1_1_10_37","Live",4.1,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"92","FV",2006,1,1,10,38,"PIPO",1,10.2,"FV_1_1_10_38","Live",9.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"93","FV",2011,1,1,10,38,"PIPO",1,11.4,"FV_1_1_10_38","Live",10.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"94","FV",2019,1,1,10,38,"PIPO",1,13.5,"FV_1_1_10_38","Live",11.4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"95","FV",2006,1,1,10,39,"PIPO",1,2.6,"FV_1_1_10_39","Live",2.4,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"96","FV",2011,1,1,10,39,"PIPO",1,2.6,"FV_1_1_10_39","Live",2.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"97","FV",2019,1,1,10,39,"PIPO",1,3,"FV_1_1_10_39","Live",2.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"98","FV",2006,1,1,10,40,"PIPO",1,3.7,"FV_1_1_10_40","Live",3.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"99","FV",2011,1,1,10,40,"PIPO",1,4.3,"FV_1_1_10_40","Live",3.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"100","FV",2019,1,1,10,40,"PIPO",1,5.1,"FV_1_1_10_40","Live",4.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"101","FV",2006,1,1,10,41,"PIPO",1,4.5,"FV_1_1_10_41","Live",4.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"102","FV",2011,1,1,10,41,"PIPO",1,5.2,"FV_1_1_10_41","Live",4.5,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"103","FV",2019,1,1,10,41,"PIPO",1,5,"FV_1_1_10_41","Live",5.2,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"104","FV",2006,1,1,10,42,"PIPO",1,6.4,"FV_1_1_10_42","Live",5.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"105","FV",2011,1,1,10,42,"PIPO",1,7.1,"FV_1_1_10_42","Live",6.4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"106","FV",2019,1,1,10,42,"PIPO",1,8.4,"FV_1_1_10_42","Live",7.1,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"107","FV",2006,1,1,10,43,"PIPO",1,2,"FV_1_1_10_43","Live",2.1,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"108","FV",2011,1,1,10,43,"PIPO",3,NA,"FV_1_1_10_43","Dead",2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"109","FV",2006,1,1,10,44,"PIPO",1,3.6,"FV_1_1_10_44","Live",3.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"110","FV",2011,1,1,10,44,"PIPO",1,3.8,"FV_1_1_10_44","Live",3.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"111","FV",2019,1,1,10,44,"PIPO",1,3.8,"FV_1_1_10_44","Live",3.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"112","FV",2006,1,1,10,45,"PIPO",1,3.2,"FV_1_1_10_45","Live",3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"113","FV",2011,1,1,10,45,"PIPO",1,3.9,"FV_1_1_10_45","Live",3.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"114","FV",2019,1,1,10,45,"PIPO",1,3.3,"FV_1_1_10_45","Live",3.9,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"115","FV",2006,1,1,10,46,"PIPO",1,3.6,"FV_1_1_10_46","Live",3.5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"116","FV",2011,1,1,10,46,"PIPO",1,4,"FV_1_1_10_46","Live",3.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"117","FV",2019,1,1,10,46,"PIPO",1,4.7,"FV_1_1_10_46","Live",4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"118","FV",2006,1,1,10,48,"PIPO",1,60.8,"FV_1_1_10_48","Live",60.9,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"119","FV",2011,1,1,10,48,"PIPO",1,60.2,"FV_1_1_10_48","Live",60.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"120","FV",2019,1,1,10,48,"PIPO",1,61.7,"FV_1_1_10_48","Live",60.2,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"121","FV",2006,1,1,10,49,"PIPO",1,45.2,"FV_1_1_10_49","Live",44.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"122","FV",2011,1,1,10,49,"PIPO",1,45.7,"FV_1_1_10_49","Live",45.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"123","FV",2019,1,1,10,49,"PIPO",1,46.8,"FV_1_1_10_49","Live",45.7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"124","FV",2006,1,1,10,5,"PIPO",1,5.9,"FV_1_1_10_5","Live",5.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"125","FV",2011,1,1,10,5,"PIPO",1,6.5,"FV_1_1_10_5","Live",5.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"126","FV",2019,1,1,10,5,"PIPO",1,7.7,"FV_1_1_10_5","Live",6.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"127","FV",2006,1,1,10,50,"PIPO",1,1.3,"FV_1_1_10_50","Live",0.9,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"128","FV",2011,1,1,10,50,"PIPO",3,NA,"FV_1_1_10_50","Dead",1.3,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"129","FV",2006,1,1,10,51,"PIPO",1,13.3,"FV_1_1_10_51","Live",11.8,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"130","FV",2011,1,1,10,51,"PIPO",1,14.4,"FV_1_1_10_51","Live",13.3,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"131","FV",2019,1,1,10,51,"PIPO",1,17.3,"FV_1_1_10_51","Live",14.4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"132","FV",2006,1,1,10,52,"PIPO",1,4.7,"FV_1_1_10_52","Live",4.5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"133","FV",2011,1,1,10,52,"PIPO",1,5.6,"FV_1_1_10_52","Live",4.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"134","FV",2019,1,1,10,52,"PIPO",1,6.3,"FV_1_1_10_52","Live",5.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"135","FV",2006,1,1,10,53,"PIPO",1,15.8,"FV_1_1_10_53","Live",14.8,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"136","FV",2011,1,1,10,53,"PIPO",1,16.9,"FV_1_1_10_53","Live",15.8,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"137","FV",2019,1,1,10,53,"PIPO",1,19.1,"FV_1_1_10_53","Live",16.9,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"138","FV",2006,1,1,10,54,"PIPO",1,9.7,"FV_1_1_10_54","Live",9.2,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"139","FV",2011,1,1,10,54,"PIPO",1,10.5,"FV_1_1_10_54","Live",9.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"140","FV",2019,1,1,10,54,"PIPO",1,11.1,"FV_1_1_10_54","Live",10.5,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
"141","FV",2006,1,1,10,55,"PIPO",3,NA,"FV_1_1_10_55","Dead",5.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"142","FV",2006,1,1,10,56,"PIPO",1,5.5,"FV_1_1_10_56","Live",5.1,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"143","FV",2006,1,1,10,57,"PIPO",1,7.7,"FV_1_1_10_57","Live",7.5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,9.11537424473813,17.9346591517916
"144","FV",2011,1,1,10,57,"PIPO",1,8.3,"FV_1_1_10_57","Live",7.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,8.3078564957955,33.7885365048699
"145","FV",2019,1,1,10,57,"PIPO",1,8.6,"FV_1_1_10_57","Live",8.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,8.24210241884682,52.0658130029423
