"","Nest_ID","Visit_date","Prev_date","interval","Fate_cat","Initiation_date","Stage"
"79","EMFWOR_NCAMC4-07A_2016","2016-07-11","2016-07-08",3,"success","2016-05-29","F"
"80","EMFWOR_NCAMC4-07A_2018","2018-06-26","2018-06-20",1,"success","2018-05-23","N"
"81","EMFWOR_NCAMC4-07A_2018","2018-07-02","2018-06-26",2,"success","2018-05-23","N"
"82","EMFWOR_NCAMC4-07A_2018","2018-07-05","2018-07-02",3,"success","2018-05-23","F"
"83","EMFWOR_NCAMC4-07A_2019","2019-06-10","2019-06-06",1,"success","2019-05-26","I"
"84","EMFWOR_NCAMC4-07A_2019","2019-06-13","2019-06-10",2,"success","2019-05-26","N"
"85","EMFWOR_NCAMC4-07A_2019","2019-06-17","2019-06-13",3,"success","2019-05-26","N"
"86","EMFWOR_NCAMC4-07A_2019","2019-06-20","2019-06-17",4,"success","2019-05-26","N"
"87","EMFWOR_NCAMC4-07A_2019","2019-06-24","2019-06-20",5,"success","2019-05-26","N"
"88","EMFWOR_NCAMC4-07A_2019","2019-06-27","2019-06-24",6,"success","2019-05-26","N"
"89","EMFWOR_NCAMC4-07A_2019","2019-07-01","2019-06-27",7,"success","2019-05-26","N"
"90","EMFWOR_NCAMC4-07A_2019","2019-07-05","2019-07-01",8,"success","2019-05-26","N"
"91","EMFWOR_NCAMC4-07A_2019","2019-07-08","2019-07-05",9,"success","2019-05-26","N"
"92","EMFWOR_NCAMC4-07A_2019","2019-07-11","2019-07-08",10,"success","2019-05-26","F"
"93","EMFWOR_NCAMC4-09A_2020","2020-06-10","2020-06-05",1,"failure","2020-05-31","I"
"94","EMFWOR_NCAMC4-09A_2020","2020-06-16","2020-06-10",2,"failure","2020-05-31","I"
"95","EMFWOR_NCAMC4-10A_2016","2016-07-07","2016-07-05",1,"success","2016-06-01","N"
"96","EMFWOR_NCAMC4-10A_2016","2016-07-08","2016-07-07",2,"success","2016-06-01","N"
"97","EMFWOR_NCAMC4-10A_2016","2016-07-11","2016-07-08",3,"success","2016-06-01","N"
"98","EMFWOR_NCAMC4-10A_2016","2016-07-13","2016-07-11",4,"success","2016-06-01","F"
"99","EMFWOR_NCAMC4-10A_2018","2018-07-02","2018-06-28",1,"success","2018-05-22","F"
"100","EMFWOR_NCAMC4-10A_2018","2018-07-03","2018-07-02",2,"success","2018-05-22","F"
"101","EMFWOR_NCAMC4-10B_2018","2018-05-29","2018-05-24",1,"success","2018-05-22","I"
"102","EMFWOR_NCAMC4-10B_2018","2018-06-01","2018-05-29",2,"success","2018-05-22","I"
"103","EMFWOR_NCAMC4-10B_2018","2018-06-04","2018-06-01",3,"success","2018-05-22","I"
"104","EMFWOR_NCAMC4-10B_2018","2018-06-07","2018-06-04",4,"success","2018-05-22","I"
"105","EMFWOR_NCAMC4-10B_2018","2018-06-11","2018-06-07",5,"success","2018-05-22","N"
"106","EMFWOR_NCAMC4-10B_2018","2018-06-20","2018-06-11",6,"success","2018-05-22","N"
"107","EMFWOR_NCAMC4-10B_2018","2018-06-25","2018-06-20",7,"success","2018-05-22","N"
"108","EMFWOR_NCAMC4-10B_2018","2018-07-02","2018-06-25",8,"success","2018-05-22","N"
"109","EMFWOR_NCAMC4-10B_2018","2018-07-05","2018-07-02",9,"success","2018-05-22","F"
"110","EMFWOR_NCAMC5-01A_2015","2015-06-23","2015-06-18",1,"success","2015-05-30","N"
"111","EMFWOR_NCAMC5-01A_2015","2015-07-01","2015-06-23",2,"success","2015-05-30","N"
"112","EMFWOR_NCAMC5-01A_2015","2015-07-08","2015-07-01",3,"success","2015-05-30","N"
"113","EMFWOR_NCAMC5-01A_2015","2015-07-09","2015-07-08",4,"success","2015-05-30","N"
"114","EMFWOR_NCAMC5-01A_2015","2015-07-14","2015-07-09",5,"success","2015-05-30","F"
"115","EMFWOR_NCAMC5-01A_2017","2017-06-03","2017-05-31",1,"failure","2017-05-12","N"
"116","EMFWOR_NCAMC5-01A_2017","2017-06-08","2017-06-03",2,"failure","2017-05-12","N"
"117","EMFWOR_NCAMC5-01A_2017","2017-06-13","2017-06-08",3,"failure","2017-05-12","N"
"118","EMFWOR_NCAMC5-01A_2017","2017-06-21","2017-06-13",4,"failure","2017-05-12","N"
"119","EMFWOR_NCAMC5-01A_2017","2017-06-24","2017-06-21",5,"failure","2017-05-12","N"
"120","EMFWOR_NCAMC5-01A_2018","2018-06-01","2018-05-29",1,"success","2018-05-20","I"
"121","EMFWOR_NCAMC5-01A_2018","2018-06-04","2018-06-01",2,"success","2018-05-20","I"
"122","EMFWOR_NCAMC5-01A_2018","2018-06-07","2018-06-04",3,"success","2018-05-20","N"
"123","EMFWOR_NCAMC5-01A_2018","2018-06-11","2018-06-07",4,"success","2018-05-20","N"
"124","EMFWOR_NCAMC5-01A_2018","2018-06-18","2018-06-11",5,"success","2018-05-20","N"
"125","EMFWOR_NCAMC5-01A_2018","2018-06-25","2018-06-18",6,"success","2018-05-20","N"
"126","EMFWOR_NCAMC5-01A_2018","2018-07-02","2018-06-25",7,"success","2018-05-20","N"
"127","EMFWOR_NCAMC5-01A_2018","2018-07-05","2018-07-02",8,"success","2018-05-20","F"
"128","EMFWOR_NCAMC5-01A_2020","2020-06-10","2020-06-09",1,"failure","2020-06-09","L"
"129","EMFWOR_NCAMC5-01A_2020","2020-06-19","2020-06-10",2,"failure","2020-06-09","I"
"130","EMFWOR_NCAMC5-01A_2020","2020-06-23","2020-06-19",3,"failure","2020-06-09","I"
"131","EMFWOR_NCAMC5-01A_2020","2020-06-29","2020-06-23",4,"failure","2020-06-09","I"
"132","EMFWOR_NCAMC5-01A_2020","2020-07-01","2020-06-29",5,"failure","2020-06-09","I"
"133","EMFWOR_NCAMC5-01A_2020","2020-07-02","2020-07-01",6,"failure","2020-06-09","I"
"134","EMFWOR_NCAMC7-06A_2015","2015-06-19","2015-06-16",1,"success","2015-06-01","N"
"135","EMFWOR_NCAMC7-06A_2015","2015-06-23","2015-06-19",2,"success","2015-06-01","N"
"136","EMFWOR_NCAMC7-06A_2015","2015-07-01","2015-06-23",3,"success","2015-06-01","N"
"137","EMFWOR_NCAMC7-06A_2015","2015-07-08","2015-07-01",4,"success","2015-06-01","N"
"138","EMFWOR_NCAMC7-06A_2015","2015-07-09","2015-07-08",5,"success","2015-06-01","N"
"139","EMFWOR_NCAMC7-06A_2015","2015-07-14","2015-07-09",6,"success","2015-06-01","N"
"140","EMFWOR_NCAMC7-06A_2015","2015-07-22","2015-07-14",7,"success","2015-06-01","F"
"141","EMFWOR_NCAMC7-06A_2018","2018-06-26","2018-06-18",1,"success","2018-05-28","N"
"142","EMFWOR_NCAMC7-06A_2018","2018-07-02","2018-06-26",2,"success","2018-05-28","N"
"143","EMFWOR_NCAMC7-06A_2018","2018-07-09","2018-07-02",3,"success","2018-05-28","N"
"144","EMFWOR_NCAMC7-06A_2018","2018-07-10","2018-07-09",4,"success","2018-05-28","F"
"145","EMFWOR_NCAMC7-06A_2020","2020-06-30","2020-06-25",1,"success","2020-05-24","N"
"146","EMFWOR_NCAMC7-06A_2020","2020-07-02","2020-06-30",2,"success","2020-05-24","N"
"147","EMFWOR_NCAMC7-06A_2020","2020-07-06","2020-07-02",3,"success","2020-05-24","F"
"148","EMFWOR_NCAMC8-06A_2016","2016-07-05","2016-07-01",1,"success","2016-06-05","N"
"149","EMFWOR_NCAMC8-06A_2016","2016-07-08","2016-07-05",2,"success","2016-06-05","N"
"150","EMFWOR_NCAMC8-06A_2016","2016-07-11","2016-07-08",3,"success","2016-06-05","N"
"151","EMFWOR_NCAMC8-06A_2016","2016-07-13","2016-07-11",4,"success","2016-06-05","N"
"152","EMFWOR_NCAMC8-06A_2016","2016-07-15","2016-07-13",5,"success","2016-06-05","N"
"153","EMFWOR_NCAMC8-06A_2016","2016-07-18","2016-07-15",6,"success","2016-06-05","F"
"154","EMFWOR_NCAMC8-07A_2017","2017-06-03","2017-05-31",1,"success","2017-05-22","I"
"155","EMFWOR_NCAMC8-07A_2017","2017-06-06","2017-06-03",2,"success","2017-05-22","I"
"156","EMFWOR_NCAMC8-07A_2017","2017-06-08","2017-06-06",3,"success","2017-05-22","I"
"157","EMFWOR_NCAMC8-07A_2017","2017-06-13","2017-06-08",4,"success","2017-05-22","N"
"158","EMFWOR_NCAMC8-07A_2017","2017-06-20","2017-06-13",5,"success","2017-05-22","N"
"159","EMFWOR_NCAMC8-07A_2017","2017-06-27","2017-06-20",6,"success","2017-05-22","N"
"160","EMFWOR_NCAMC8-07A_2017","2017-06-30","2017-06-27",7,"success","2017-05-22","N"
"161","EMFWOR_NCAMC8-07A_2017","2017-07-07","2017-06-30",8,"success","2017-05-22","F"
"162","EMFWOR_NCAMC8-07A_2018","2018-06-01","2018-05-29",1,"success","2018-05-23","I"
"163","EMFWOR_NCAMC8-07A_2018","2018-06-04","2018-06-01",2,"success","2018-05-23","I"
"164","EMFWOR_NCAMC8-07A_2018","2018-06-07","2018-06-04",3,"success","2018-05-23","I"
"165","EMFWOR_NCAMC8-07A_2018","2018-06-11","2018-06-07",4,"success","2018-05-23","N"
"166","EMFWOR_NCAMC8-07A_2018","2018-06-20","2018-06-11",5,"success","2018-05-23","N"
"167","EMFWOR_NCAMC8-07A_2018","2018-06-26","2018-06-20",6,"success","2018-05-23","N"
"168","EMFWOR_NCAMC8-07A_2018","2018-07-02","2018-06-26",7,"success","2018-05-23","N"
"169","EMFWOR_NCAMC8-07A_2018","2018-07-06","2018-07-02",8,"success","2018-05-23","F"
"170","EMFWOR_NCAMC8-07A_2019","2019-06-10","2019-06-06",1,"failure","2019-99-99","I"
"171","EMFWOR_NCAMC8-09A_2019","2019-07-18","2019-07-15",1,"success","2019-06-23","N"
"172","EMFWOR_NCAMC8-09A_2019","2019-07-22","2019-07-18",2,"success","2019-06-23","N"
"173","EMFWOR_NCAMC8-09A_2019","2019-07-25","2019-07-22",3,"success","2019-06-23","N"
"174","EMFWOR_NCAMC8-09A_2019","2019-07-29","2019-07-25",4,"success","2019-06-23","N"
"175","EMFWOR_NCAMC8-09A_2019","2019-08-01","2019-07-29",5,"success","2019-06-23","N"
"176","EMFWOR_NCAMC8-09A_2019","2019-08-05","2019-08-01",6,"success","2019-06-23","F"
"177","EMFWOR_NCAMC8-09A_2020","2020-06-11","2020-06-08",1,"success","2020-06-01","I"
"178","EMFWOR_NCAMC8-09A_2020","2020-06-16","2020-06-11",2,"success","2020-06-01","I"
"179","EMFWOR_NCAMC8-09A_2020","2020-06-23","2020-06-16",3,"success","2020-06-01","N"
"180","EMFWOR_NCAMC8-09A_2020","2020-06-29","2020-06-23",4,"success","2020-06-01","N"
"181","EMFWOR_NCAMC8-09A_2020","2020-07-01","2020-06-29",5,"success","2020-06-01","N"
"182","EMFWOR_NCAMC8-09A_2020","2020-07-06","2020-07-01",6,"success","2020-06-01","N"
"183","EMFWOR_NCAMC8-09A_2020","2020-07-08","2020-07-06",7,"success","2020-06-01","N"
"184","EMFWOR_NCAMC8-09A_2020","2020-07-10","2020-07-08",8,"success","2020-06-01","N"
"185","EMFWOR_NCAMC8-09A_2020","2020-07-13","2020-07-10",9,"success","2020-06-01","N"
"186","EMFWOR_NCAMC8-09A_2020","2020-07-15","2020-07-13",10,"success","2020-06-01","F"
"187","EMFWOR_NLFTT2-01A_2017","2017-07-11","2017-06-29",1,"success","2017-06-05","N"
"188","EMFWOR_NLFTT2-01A_2017","2017-07-17","2017-07-11",2,"success","2017-06-05","N"
"189","EMFWOR_NLFTT2-01A_2017","2017-07-20","2017-07-17",3,"success","2017-06-05","F"
"190","EMFWOR_NLFTT2-01A_2018","2018-06-15","2018-06-07",1,"success","2018-05-30","I"
"191","EMFWOR_NLFTT2-01A_2018","2018-06-19","2018-06-15",2,"success","2018-05-30","N"
"192","EMFWOR_NLFTT2-01A_2018","2018-06-27","2018-06-19",3,"success","2018-05-30","N"
"193","EMFWOR_NLFTT2-01A_2018","2018-07-06","2018-06-27",4,"success","2018-05-30","N"
"194","EMFWOR_NLFTT2-01A_2018","2018-07-10","2018-07-06",5,"success","2018-05-30","N"
"195","EMFWOR_NLFTT2-01A_2018","2018-07-12","2018-07-10",6,"success","2018-05-30","N"
"196","EMFWOR_NLFTT2-01A_2018","2018-07-16","2018-07-12",7,"success","2018-05-30","F"
"197","EMFWOR_NLFTT2-01B_2018","2018-06-19","2018-06-15",1,"success","2018-06-06","I"
"198","EMFWOR_NLFTT2-01B_2018","2018-06-27","2018-06-19",2,"success","2018-06-06","N"
"199","EMFWOR_NLFTT2-01B_2018","2018-07-06","2018-06-27",3,"success","2018-06-06","N"
"200","EMFWOR_NLFTT2-01B_2018","2018-07-10","2018-07-06",4,"success","2018-06-06","N"
"201","EMFWOR_NLFTT2-01B_2018","2018-07-12","2018-07-10",5,"success","2018-06-06","N"
"202","EMFWOR_NLFTT2-01B_2018","2018-07-16","2018-07-12",6,"success","2018-06-06","N"
"203","EMFWOR_NLFTT2-01B_2018","2018-07-18","2018-07-16",7,"success","2018-06-06","N"
"204","EMFWOR_NLFTT2-01B_2018","2018-07-19","2018-07-18",8,"success","2018-06-06","N"
"205","EMFWOR_NLFTT2-01B_2018","2018-07-23","2018-07-19",9,"success","2018-06-06","F"
"206","EMFWOR_NLILT1-07A_2019","2019-07-08","2019-07-05",1,"success","2019-06-16","N"
"207","EMFWOR_NLILT1-07A_2019","2019-07-11","2019-07-08",2,"success","2019-06-16","N"
"208","EMFWOR_NLILT1-07A_2019","2019-07-15","2019-07-11",3,"success","2019-06-16","N"
"209","EMFWOR_NLILT1-07A_2019","2019-07-18","2019-07-15",4,"success","2019-06-16","N"
"210","EMFWOR_NLILT1-07A_2019","2019-07-22","2019-07-18",5,"success","2019-06-16","N"
"211","EMFWOR_NLILT1-07A_2019","2019-07-25","2019-07-22",6,"success","2019-06-16","N"
"212","EMFWOR_NLILT1-07A_2019","2019-07-29","2019-07-25",7,"success","2019-06-16","F"
"213","EMFWOR_NLILT1-07A_2020","2020-07-07","2020-06-30",1,"success","2020-06-14","N"
"214","EMFWOR_NLILT1-07A_2020","2020-07-09","2020-07-07",2,"success","2020-06-14","N"
"215","EMFWOR_NLILT1-07A_2020","2020-07-13","2020-07-09",3,"success","2020-06-14","N"
"216","EMFWOR_NLILT1-07A_2020","2020-07-16","2020-07-13",4,"success","2020-06-14","N"
"217","EMFWOR_NLILT1-07A_2020","2020-07-21","2020-07-16",5,"success","2020-06-14","N"
"218","EMFWOR_NLILT1-07A_2020","2020-07-24","2020-07-21",6,"success","2020-06-14","N"
"219","EMFWOR_NLILT1-07A_2020","2020-07-27","2020-07-24",7,"success","2020-06-14","F"
"220","EMFWOR_NLILT1-08A_2021","2021-07-14","2021-07-07",1,"success","2021-06-12","N"
"221","EMFWOR_NLILT1-08A_2021","2021-07-20","2021-07-14",2,"success","2021-06-12","N"
"222","EMFWOR_NLILT1-08A_2021","2021-07-23","2021-07-20",3,"success","2021-06-12","N"
"223","EMFWOR_NLILT1-08A_2021","2021-07-26","2021-07-23",4,"success","2021-06-12","F"
"224","EMFWOR_NLILT1-10A_2016","2016-07-01","2016-06-28",1,"success","2016-06-11","N"
"225","EMFWOR_NLILT1-10A_2016","2016-07-06","2016-07-01",2,"success","2016-06-11","N"
"226","EMFWOR_NLILT1-10A_2016","2016-07-11","2016-07-06",3,"success","2016-06-11","N"
"227","EMFWOR_NLILT1-10A_2016","2016-07-14","2016-07-11",4,"success","2016-06-11","N"
"228","EMFWOR_NLILT1-10A_2016","2016-07-18","2016-07-14",5,"success","2016-06-11","N"
"229","EMFWOR_NLILT1-10A_2016","2016-07-21","2016-07-18",6,"success","2016-06-11","N"
"230","EMFWOR_NLILT1-10A_2016","2016-07-25","2016-07-21",7,"success","2016-06-11","F"
"231","EMFWOR_NLILT3-04A_2020","2020-07-07","2020-06-30",1,"failure","2020-06-07","N"
"232","EMFWOR_NLILT3-04A_2020","2020-07-09","2020-07-07",2,"failure","2020-06-07","N"
"233","EMFWOR_NLILT3-10A_2017","2017-07-11","2017-06-29",1,"success","2017-06-02","N"
"234","EMFWOR_NLILT3-10A_2017","2017-07-17","2017-07-11",2,"success","2017-06-02","F"
"235","EMFWOR_NLILT3-10A_2018","2018-06-05","2018-05-30",1,"success","2018-05-30","I"
"236","EMFWOR_NLILT3-10A_2018","2018-06-15","2018-06-05",2,"success","2018-05-30","I"
"237","EMFWOR_NLILT3-10A_2018","2018-06-19","2018-06-15",3,"success","2018-05-30","N"
"238","EMFWOR_NLILT3-10A_2018","2018-06-27","2018-06-19",4,"success","2018-05-30","N"
"239","EMFWOR_NLILT3-10A_2018","2018-07-06","2018-06-27",5,"success","2018-05-30","N"
"240","EMFWOR_NLILT3-10A_2018","2018-07-09","2018-07-06",6,"success","2018-05-30","N"
"241","EMFWOR_NLILT3-10A_2018","2018-07-12","2018-07-09",7,"success","2018-05-30","F"
"242","EMFWOR_NMUDT1-05A_2015","2015-06-18","2015-06-12",1,"success","2015-05-29","N"
"243","EMFWOR_NMUDT1-05A_2015","2015-06-23","2015-06-18",2,"success","2015-05-29","N"
"244","EMFWOR_NMUDT1-05A_2015","2015-07-01","2015-06-23",3,"success","2015-05-29","N"
"245","EMFWOR_NMUDT1-05A_2015","2015-07-08","2015-07-01",4,"success","2015-05-29","N"
"246","EMFWOR_NMUDT1-05A_2015","2015-07-10","2015-07-08",5,"success","2015-05-29","N"
"247","EMFWOR_NMUDT1-05A_2015","2015-07-13","2015-07-10",6,"success","2015-05-29","F"
"248","EMFWOR_NMUDT1-05A_2016","2016-06-28","2016-06-23",1,"success","2016-06-05","N"
"249","EMFWOR_NMUDT1-05A_2016","2016-07-01","2016-06-28",2,"success","2016-06-05","N"
"250","EMFWOR_NMUDT1-05A_2016","2016-07-06","2016-07-01",3,"success","2016-06-05","N"
"251","EMFWOR_NMUDT1-05A_2016","2016-07-08","2016-07-06",4,"success","2016-06-05","N"
"252","EMFWOR_NMUDT1-05A_2016","2016-07-11","2016-07-08",5,"success","2016-06-05","N"
"253","EMFWOR_NMUDT1-05A_2016","2016-07-14","2016-07-11",6,"success","2016-06-05","N"
"254","EMFWOR_NMUDT1-05A_2016","2016-07-15","2016-07-14",7,"success","2016-06-05","N"
"255","EMFWOR_NMUDT1-05A_2016","2016-07-18","2016-07-15",8,"success","2016-06-05","N"
"256","EMFWOR_NMUDT1-05A_2016","2016-07-19","2016-07-18",9,"success","2016-06-05","F"
"257","EMFWOR_NMUDT1-05A_2018","2018-06-27","2018-06-19",1,"failure","2018-99-99","I"
"258","EMFWOR_NMUDT1-05A_2020","2020-06-22","2020-06-18",1,"success","2020-06-13","I"
"259","EMFWOR_NMUDT1-05A_2020","2020-06-25","2020-06-22",2,"success","2020-06-13","I"
"260","EMFWOR_NMUDT1-05A_2020","2020-06-29","2020-06-25",3,"success","2020-06-13","I"
"261","EMFWOR_NMUDT1-05A_2020","2020-07-02","2020-06-29",4,"success","2020-06-13","N"
"262","EMFWOR_NMUDT1-05A_2020","2020-07-07","2020-07-02",5,"success","2020-06-13","N"
"263","EMFWOR_NMUDT1-05A_2020","2020-07-09","2020-07-07",6,"success","2020-06-13","N"
"264","EMFWOR_NMUDT1-05A_2020","2020-07-13","2020-07-09",7,"success","2020-06-13","N"
"265","EMFWOR_NMUDT1-05A_2020","2020-07-16","2020-07-13",8,"success","2020-06-13","N"
"266","EMFWOR_NMUDT1-05A_2020","2020-07-21","2020-07-16",9,"success","2020-06-13","N"
"267","EMFWOR_NMUDT1-05A_2020","2020-07-24","2020-07-21",10,"success","2020-06-13","N"
